COSITE,YEAR,JANAADT,FEBAADT,MARAADT,APRAADT,MAYAADT,JUNAADT,JULAADT,AUGAADT,SEPAADT,OCTAADT,NOVAADT,DECAADT,,,,,,,
010228,2011,24597,27462,27977,25486,22158,20755,20013,20094,19622,20953,22512,23394,,,,,,,
010228,2012,24898,27166,28086,24675,22003,20402,20453,19354,19996,21414,22835,23555,,,,,,,
010228,2013,25308,27588,27805,25581,22986,21161,20699,21046,20755,22687,23990,25053,,,,,,,
010228,2014,26473,29612,30096,27136,23982,22451,21936,21954,21535,23763,24710,26287,,,,,,,
010228,2015,28554,30509,31939,28843,25280,24254,23028,23394,23467,25475,26865,28170,,,,,,,
010228,2016,29387,32148,32829,30013,26962,25158,24935,24880,24710,26767,28028,29079,,,,,,,
010228,2017,31038,33486,33874,31132,27932,25749,25604,25662,22694,27061,29155,29821,,,,,,,
010228,2018,31086,34796,34906,31911,27779,26996,25556,25768,25256,27721,29278,29886,,,,,,,
010228,2019,32236,35553,35683,32672,29394,27787,26424,26297,26522,28546,29900,30760,,,,,,,
010228,2020,33377,36364,29863,20686,26951,27916,26832,26871,27315,29002,29385,30431,,,,,,,
010228,2021,32155,34277,36620,34364,32280,30754,29356,28350,28693,31399,32537,33747,,,,,,,
010350,2011,48057,53942,57335,51137,44414,43573,43623,41262,39761,42679,46896,47318,,,,,,,
010350,2012,47464,53401,57477,49851,44504,42658,43819,40417,39160,42880,47129,47600,,,,,,,
010350,2013,49149,54414,58929,49979,46571,44630,44739,43801,40675,45269,48989,51263,,,,,,,
010350,2014,51111,57272,61433,53615,48291,46720,47092,45460,42623,47581,51891,54388,,,,,,,
010350,2015,55713,61721,65619,58692,52284,51021,50684,48652,48089,52175,57152,58503,,,,,,,
010350,2016,58860,64549,69260,60657,56003,53605,54964,51893,50080,55049,59549,59909,,,,,,,
010350,2017,61197,66550,69999,64352,58142,55436,56593,54015,54321,58732,62947,59729,,,,,,,
010350,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
010350,2019,65076,71797,75541,67002,61181,59233,58855,56165,54147,59765,64534,66308,,,,,,,
010350,2020,67110,73207,57588,32769,45931,53134,52188,53125,54049,57452,57811,61043,,,,,,,
010350,2021,61834,68085,71360,71158,67182,66306,64364,59644,59869,64981,69561,70101,,,,,,,
010367,2011,15378,17011,17287,15357,13575,13494,13512,13110,13016,13987,14979,15013,,,,,,,
010367,2012,15954,17115,17501,15199,13714,13374,13308,12660,12853,13699,14470,14581,,,,,,,
010367,2013,15816,17279,17537,15500,14118,13593,13549,13501,13257,14399,15188,15479,,,,,,,
010367,2014,16493,18321,18690,16482,14603,14087,13885,13803,13588,14906,15631,16295,,,,,,,
010367,2015,17597,19211,19624,17465,15463,15166,14845,14900,14700,15600,16400,17400,,,,,,,
010367,2016,18000,19600,19800,17419,16129,15734,15956,15559,15613,16592,17331,17470,,,,,,,
010367,2017,18601,20122,20589,18537,16807,16151,15991,15809,14848,17378,18085,18071,,,,,,,
010367,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
010367,2019,19786,21584,21997,19884,18045,17820,17404,17189,17093,18435,19083,19138,,,,,,,
010367,2020,20611,22333,18233,11900,15303,16584,16058,16456,16720,18039,17830,18616,,,,,,,
010367,2021,19802,20790,0,0,0,0,0,0,0,0,0,0,,,,,,,
020044,2011,16751,18396,18917,18143,16866,16286,16707,16089,16073,16580,17747,17306,,,,,,,
020044,2012,17053,18017,19042,17985,17319,16596,17303,16433,16286,16658,17769,17042,,,,,,,
020044,2013,17322,18785,19023,17799,17345,16657,17385,17186,16505,17133,17712,17797,,,,,,,
020044,2014,16913,18361,19455,18429,17285,17081,17851,17056,16384,17342,18157,18159,,,,,,,
020044,2018,19471,21630,22548,21262,19701,20056,20467,19842,19210,19762,20876,20067,,,,,,,
020044,2016,18928,20800,21837,20483,19605,19082,20162,18533,18169,19423,20633,20135,,,,,,,
